AR_Refunds,records,patient_payments,Encounters,Payments,Adjustments,ar_contractual_adj,Base_Units,AR_Beginning_Balance,Bad_Debt_Adj_Calc,ar_bad_debt_adj,Charges,AR_Payments,ar_other_adj,period_id,CA_Ending_Balance,Total_Units,AR_Ending_Balance,bad_debt_adj,Quantity,CA_Adjustments,Allowed,Units,Contractual_Adj_Calc,contractual_adj,TOTAL_Adj,other_adj,CA_Provision,CA_Beginning_Balance,Refunds,AR_Charges,Other_Adj_Calc,AR_Adjustments,Balance,Cases,
null,2802744,14828657.6200,null,247893358.7600,541513047.0100,289771325.7700,null,0.0000,120336252.5246,7118687.3900,1573521320.3200,109540585.3800,1052505.9700,1,556932510.7460,null,250417051.2500,7374011.8500,null,297942519.1300,355937531.3769,2150605.570,1282070823.0052,532017011.0500,541513047.0100,2122024.1100,854875029.8760,0.0000,null,657900155.7600,17672232.0694,297942519.1300,784114914.5500,null,
null,3068720,15084410.8400,null,260178907.7900,591759908.8100,300949117.2600,null,784114914.5500,132139394.9813,12567356.8200,1636058163.4500,112486064.2700,902204.2200,2,555098974.6266,null,784119346.8500,13173815.6100,null,314418678.3000,370608641.1542,2183509.140,1449433776.1778,576353807.7200,591759908.8100,2232285.4800,480221118.4462,389296725.3600,null,426909174.8700,17785920.0226,314418678.3000,784119346.8500,null,
null,3101332,17660759.5800,null,274622378.1400,626840308.6500,354016742.5100,null,784119346.8500,135829889.3622,18766520.0900,1637804974.8300,126907748.3000,1535610.8000,3,516809391.7059,null,736342288.0400,19583534.6100,null,374318873.4000,379929350.2872,2238303.450,1439072864.1641,604483872.9400,626840308.6500,2772901.1000,336029290.4793,555099329.4300,null,453449562.8900,17343640.2640,374318873.4000,736342288.0400,null,
null,3029402,16544404.5300,null,258505600.0200,579073754.0500,299108964.6100,null,736342288.0400,131505074.4756,15174986.0800,1586204309.7300,109949485.2300,1111371.3400,4,525028567.2024,null,748624955.6600,15537254.2400,null,315395322.0300,367579550.8149,2133284.930,1395654542.5048,561044205.4400,579073754.0500,2492294.3700,323614497.5265,516809758.8700,null,437627474.8800,24484272.5600,315395322.0300,748624955.6600,null,
null,3070649,16222505.3600,null,265463218.0100,595808720.2800,313513608.8200,null,748624955.6600,132900278.5719,15355576.7500,1624420632.9200,117292433.5700,1182321.9300,5,533403447.2110,null,763148694.6300,16037797.7400,null,330051507.5000,376602358.4808,2181476.390,1428153653.7558,576759698.3700,595808720.2800,3011224.1700,338426387.5086,525028919.1200,null,461867680.0400,18465517.2814,330051507.5000,763148694.6300,null,
null,3115220,17272253.3600,null,276196826.2400,608263404.8500,331075584.3000,null,763148694.6300,131993965.0140,15818052.1000,1634362877.7100,125841134.4100,1401734.7200,6,526315273.9050,null,749902646.6200,17069058.7200,null,348295371.1200,385640691.1605,2189393.760,1452120759.6860,588735866.1400,608263404.8500,2458479.9900,341207197.8140,533403803.4800,null,460890457.5200,18134126.0131,348295371.1200,749902646.6200,null,
null,3097882,16288919.8400,null,268027251.2300,581674002.9800,308835406.0000,null,749902646.6200,130659391.3738,16848944.9300,1627635670.2400,115604243.4400,993001.8400,7,545538073.9636,null,777934416.0300,17890265.7600,null,326677352.7700,375572469.8884,2166387.120,1443573091.5376,561650661.2200,581674002.9800,2133076.0000,345900152.8286,526315613.7300,null,470313365.6200,17541252.1448,326677352.7700,777934416.0300,null,
null,3224455,18036961.7600,null,287145654.5300,628374338.6400,350315064.5000,null,777934416.0300,133061536.5185,19265288.7000,1682050915.3300,132395317.4800,1192647.7200,8,538557242.1048,null,766530922.1600,20840822.5800,null,370773000.9200,390093541.4720,2217444.160,1513716987.2594,605424741.5900,628374338.6400,2108774.4700,363792169.0612,545538418.5800,null,491764824.5300,18403154.9065,370773000.9200,766530922.1600,null,
null,3174916,16455763.1500,null,266815117.7600,583562211.3200,333798442.7000,null,766530922.1600,136506522.0554,18816133.9300,1617250427.9500,118995332.9900,1243146.8400,9,542558416.8501,null,766873098.8700,20101356.2300,null,353857723.4700,117747904.3809,2151648.690,1463080141.3436,560341137.6900,583562211.3200,3119717.4000,356837607.3360,539578793.4300,null,473195233.1700,32238345.1282,353857723.4700,766873098.8700,null,
null,3157834,16569247.7200,null,265693583.9400,559085843.9800,329069289.2900,null,766873098.8700,134978083.4699,12275374.2600,1595815955.4800,122698068.0700,954030.9600,10,547912881.5462,null,771036527.5600,15548639.2400,null,342298694.5100,110609099.4510,2115394.040,1446032920.5331,541808886.4400,559085843.9800,1728318.3000,347653212.5851,542558650.1600,null,469160191.2700,28040915.6893,342298694.5100,771036527.5600,null,
null,3168681,17453750.1400,null,268267445.0800,550193638.5700,325596408.0500,null,771036527.5600,128808801.4384,11034275.2700,1577310953.4100,122502423.0200,1058063.5300,11,539623057.0636,null,758849869.7600,13265891.7600,null,337688746.8500,107301435.8177,2085730.860,1453657903.1601,535105822.8300,550193638.5700,1821923.9800,329398922.3674,547913114.3200,null,448004512.0700,24730973.0088,337688746.8500,758849869.7600,null,
null,3195751,16424585.0600,null,258179676.9100,522640183.2600,317890245.1100,null,758849869.7600,140215116.4858,14999813.7200,1558189876.5400,113838087.5000,1159932.7600,12,552186984.5047,null,777370016.3700,16570073.9200,null,334049991.5900,114132920.8934,2112786.430,1447660476.9533,502536482.1400,522640183.2600,3533627.2000,346614125.3823,539623231.6700,null,466408225.7000,24621119.6969,334049991.5900,777370016.3700,null,
null,3245673,16803378.0400,null,256633400.4100,525091893.4300,325629886.1300,null,777370016.3700,140172495.6125,14534277.5300,1582517458.8800,114085606.5600,1001748.0500,13,569382401.2622,null,800792165.0400,16695152.4000,null,341165911.7100,375624717.2290,2130274.660,1470712262.3553,505865234.4400,525091893.4300,2531506.5900,361830089.9492,548718277.7975,null,478673666.9400,19456063.2076,341165911.7100,800792165.0400,null,
null,3215076,16894265.2600,null,252052552.6900,526364117.7100,317544027.1200,null,800792165.0400,140971649.1590,14476806.3300,1568606582.7800,108911429.3500,1210185.7800,14,556093123.1189,null,790189912.3800,16733056.8000,null,333231019.2300,369426504.8924,2124937.860,1449036333.6139,507015493.9100,526364117.7100,2615567.0000,319941741.0867,569382440.0872,null,431540195.9200,19712184.2645,333231019.2300,790189912.3800,null,
null,3356655,20212549.5700,null,276254775.5000,594761852.8400,357631605.8800,null,790189912.3800,145184999.5636,17632746.2200,1644869745.2900,127801822.4800,711411.6100,15,544055408.9384,null,773853116.9500,19520975.4700,null,375975763.7100,400498855.8636,2179330.360,1527585125.8604,572148434.8600,594761852.8400,3092442.5100,363938049.5295,556093160.8609,null,487440790.7600,20798143.0010,375975763.7100,773853116.9500,null,
null,3256877,18244649.2600,null,256257314.1500,520582994.8400,304795451.6300,null,773853116.9500,139469476.8252,14150905.3400,1571830856.8600,109910492.4100,277645.8800,16,558893896.8288,null,794990547.8700,16558122.5900,null,319224002.8500,380392929.8736,2072031.780,1460303087.6418,503136317.2400,520582994.8400,888555.0100,334062490.7404,544055456.6443,null,450271926.1800,20889453.3077,319224002.8500,794990547.8700,null,
null,3400490,19366908.6700,null,277600638.7500,576777706.1500,351332386.1900,null,794990547.8700,142419788.8918,17714159.2000,1635634555.6200,129700205.5100,391183.1100,17,550856254.4032,null,781256210.7200,20158753.9900,null,369437728.5000,396998032.3362,2077966.170,1535823216.2520,555358333.9800,576777706.1500,1260618.1800,361400086.0744,558893942.9991,null,485403596.8600,21007361.1805,369437728.5000,781256210.7200,null,
null,3329957,19014763.4200,null,275498883.2700,577667009.3600,346207416.2900,null,781256210.7200,142738004.3355,18493576.1400,1619699816.5400,125220824.1200,281878.4400,18,537644163.8373,null,766533923.9100,20871049.8400,null,364982870.8700,396301120.3906,2069719.000,1527168121.5043,555909431.7200,577667009.3600,886527.8000,351770780.3041,550856287.7961,null,475481408.1800,21349235.1370,364982870.8700,766533923.9100,null,
null,3313835,18354211.3600,null,265638582.6300,548963970.4700,318888639.5600,null,766533923.9100,141986107.0965,17226993.0000,1617117121.8500,115030539.0400,299736.4000,19,564420628.4126,null,802514568.7500,19628248.4900,null,336415368.9600,389202284.3097,2055289.450,1522761683.7321,528178928.1800,548963970.4700,1156793.8000,363191879.9353,537644145.1229,null,487426552.8400,21288539.9151,336415368.9600,802514568.7500,null,
null,3454827,18693468.6700,null,284358539.5900,593205243.2100,362831603.5100,null,802514568.7500,147115714.1682,18024441.0800,1675717149.4600,133686586.4600,258581.0600,20,563084383.2551,null,798153366.6600,20558196.2200,null,381114625.6500,407666460.0610,2145144.440,1599398047.0654,571498822.4400,593205243.2100,1148224.5500,379778285.0925,564420668.0210,null,510440010.0200,22726380.3956,381114625.6500,798153366.6600,null,
null,3411776,18101601.5800,null,264704818.0100,552949700.6800,314019067.1600,null,798153366.6600,148397062.1032,17659295.3200,1656896482.9200,110765145.3800,279338.2800,21,591191529.3653,null,839241964.2300,20637354.0600,null,331957700.7600,399216058.3708,2107988.290,1576406412.0961,531169634.7600,552949700.6800,1142711.8600,360064846.8702,563084429.3295,null,483811443.7100,22438927.7897,331957700.7600,839241964.2300,null,
null,3549872,18765437.8000,null,285105956.5400,610824192.8300,368007195.9400,null,839241964.2300,153546471.2337,20607413.8300,1714205214.0700,134872014.9300,2718991.4400,22,578312040.5555,null,818275064.7000,25644597.9200,null,391333601.2100,423789495.5014,2213899.410,1649536134.2395,581422830.8200,610824192.8300,3756764.0900,378454112.4002,591191576.1645,null,505238716.6100,24822207.9866,391333601.2100,818275064.7000,null,
null,3475597,18149285.8500,null,273167443.2200,564946569.1700,340753700.8800,null,818275064.7000,153064231.6487,13292327.2200,1658821640.2400,124572040.7100,-1471025.6000,23,580522957.0469,null,820707627.8500,18887181.3200,null,352575002.5000,410061126.1460,2074487.060,1602723216.9261,544716839.3900,564946569.1700,1342548.4600,354785918.9914,578312077.0984,null,479579606.3600,28691642.6124,352575002.5000,820707627.8500,null,
null,3472902,17590916.6600,null,269482785.3000,553469295.1000,317774213.1800,null,820707627.8500,157969169.0766,18363052.8600,1667296515.5300,116508651.7000,290788.8800,24,599938558.3704,null,844345675.1300,21295817.4700,null,336428054.9200,405990163.5914,2085658.930,1618688573.2650,531013206.1100,553468055.1000,1159031.5200,355843656.2435,580523009.3110,null,476574753.9000,31433705.9259,336428054.9200,844344435.1300,null,
null,3552693,18890666.6600,null,272559946.7200,564305220.4600,342216219.1700,null,844344435.1300,162369385.0911,14288176.3700,1705106369.5500,122774126.8300,370849.5800,25,616925687.5330,null,868239962.3700,17389137.8000,null,356875245.1200,416984543.4894,2118439.030,1674912622.5110,545638111.5200,564305220.4600,1277971.1400,373862374.2826,599938602.6001,null,503544899.1900,30674626.7695,356875245.1200,868241202.3700,null,
null,3502144,18096170.5600,null,257955300.4900,546010821.0200,318725845.3000,null,868241202.3700,162100274.4672,16787114.3800,1687494357.0200,109643325.5900,189180.3800,26,625723381.5920,null,883528235.5100,19999729.3500,null,335702140.0600,411059678.6546,2062878.220,1651471628.7247,524864650.6400,546010821.0200,1146441.0300,344501074.1190,616924505.8142,null,460632498.7900,29154567.3768,335702140.0600,883528235.5100,null,
null,3599982,20923928.9300,null,275230152.6700,594128165.0600,358180405.7000,null,883528235.5100,164108308.8514,16596229.0000,1754682192.8500,123849570.5800,335693.8000,27,623098336.0911,null,885323875.1200,19597337.8400,null,375112328.5000,431291787.0764,2104150.410,1716928846.4961,573289447.7600,594128165.0600,1241379.4600,372487282.9991,625723443.4225,null,500757538.6900,28377925.4486,375112328.5000,885323875.1200,null,
null,3604935,20081144.5100,null,271508589.3200,586767334.6900,328670826.6700,null,885323875.1200,160256155.7851,16063325.5800,1754101302.8600,118380258.5200,311256.6000,28,628209333.7517,null,895825378.8500,19184679.3400,null,345045408.8500,427508999.5861,2073770.370,1720288733.9068,566218528.6400,586767334.6900,1364126.7100,350156406.5106,623098382.8610,null,473927171.1000,28495690.2432,345045408.8500,895825378.8500,null,
null,3653768,20298865.5600,null,286353757.3400,605497080.0800,359720891.3500,null,895825378.8500,158981794.0110,13909104.4700,1781633316.7800,132719364.6500,254382.7800,29,625780235.4252,null,889782479.3600,17235122.4100,null,373884378.6000,442178098.2660,2083354.630,1750738743.7551,586951610.7900,605497080.0800,1310346.8800,371455280.2735,628209382.4608,null,500560843.7600,26970065.8234,373884378.6000,889782479.3600,null,
null,3650206,19481054.9600,null,281127613.5100,595138918.9100,333416154.7700,null,889782479.3600,159210481.3701,19383467.6000,1779833279.9100,123820440.4700,409829.1600,30,636718156.4041,null,903566747.4900,21920860.2800,null,353209451.5300,442370813.8796,2078430.170,1756875616.1712,571735753.0700,595138918.9100,1482305.5600,364147372.5089,625780285.1109,null,490814160.1300,27844293.1570,353209451.5300,903566747.4900,null,
null,3719352,20489919.2000,null,289678129.4100,611240770.7600,352729819.8700,null,903566747.4900,155593101.0197,15429645.0700,1806457801.5700,130704796.0900,314941.7600,31,639088564.6994,null,905538901.4000,17878896.5200,null,368474406.7000,454012238.3760,2137701.160,1797974540.3338,592042309.9700,611240770.7600,1319564.2700,370844868.1448,636718148.5060,null,501151356.7000,27703811.1082,368474406.7000,905538901.4000,null,
null,3772133,20411856.2200,null,303221975.4600,652120863.0800,386636650.9600,null,905538901.4000,159726078.5514,19793258.6000,1833143946.8500,141265238.7300,437889.1900,32,619401091.7859,null,877801108.3100,22751437.5100,null,406867798.7500,463064580.6700,2170090.930,1836308889.3819,627833135.6200,652120863.0800,1536289.9500,387180325.8365,639088611.5130,null,520395244.3900,27750023.5913,406867798.7500,877801108.3100,null,
null,3699896,18941463.0100,null,277094007.8200,588877821.3200,319925894.7800,null,877801108.3100,157685578.4332,23471989.0800,1775774645.0600,114527738.1300,230592.8400,33,643725408.2429,null,909802815.9200,26491760.1500,null,343628476.7000,440650892.5996,2055988.920,1791913534.1573,561195097.8400,588877821.3200,1190963.3300,367952793.1570,619401137.7529,null,490157922.4400,28096475.0105,343628476.7000,909802815.9200,null,
null,3827372,20036445.3900,null,297801147.8300,633363026.6600,370203427.3300,null,909802815.9200,159163743.6781,14255133.4200,1843596670.2100,138240802.8000,281083.8200,34,648060286.5075,null,912432495.7200,19544343.4200,null,384739644.5700,458472296.1053,2147429.900,1870806548.7586,612577373.5200,633363026.6600,1241309.7200,389074522.8346,643725453.8701,null,525610127.1700,28727986.1266,384739644.5700,912432495.7200,null,
null,3794817,18914278.6300,null,284979273.6000,591960206.7400,331829032.5400,null,912432495.7200,159200566.7337,15423035.7000,1813341266.2400,121050267.9200,309853.4800,35,666264123.7639,null,936401785.9000,20613515.2800,null,347561921.7200,449371544.1171,2112939.010,1847817597.5414,570080242.5300,591960206.7400,1266448.9300,365765758.9764,648060334.5784,null,492581479.8200,27611618.7133,347561921.7200,936401785.9000,null,
null,3860881,19047697.1900,null,284553651.6600,607803917.5900,334044934.1700,null,936401785.9000,161959928.9665,16288801.5900,1862075201.9100,118700462.5100,1033888.1400,36,689513036.6999,null,969717632.6600,21882760.5100,null,351367623.9000,452803007.7851,2164995.230,1895717395.7613,583942489.1800,607803917.5900,1978667.9000,374616536.8360,666264175.5068,null,503383933.1700,26961716.9469,351367623.9000,969717632.6600,null,
null,3980665,19756526.1200,null,292017345.4000,636204350.1600,369939487.5600,null,969717632.6600,170030129.4203,18364215.2600,1910011532.3600,128780688.4200,285094.2000,37,695562980.7020,null,981789836.8000,26276186.1100,null,388588797.0200,472631169.8512,2216180.110,1959752257.5851,608592795.4000,636204350.1600,1335368.6500,394638741.0221,689513093.7195,null,529441689.5800,26242300.7107,388588797.0200,981789836.8000,null,
null,3913367,19424543.1600,null,282184613.1800,616938846.3400,350055512.2400,null,981789836.8000,168948465.3803,15660255.1200,1873932874.8900,116296095.8300,204572.9600,38,685475858.4816,null,974809415.3700,21856862.8300,null,365920340.3200,466356378.7092,2164498.880,1910753833.6774,593933100.3500,616938846.3400,1148883.1600,355833218.0996,695563028.1664,null,475236014.7200,26018741.5262,365920340.3200,974809415.3700,null,
null,3992230,21607368.8800,null,295080584.9900,673096008.0900,378091620.5600,null,974809415.3700,174922782.1440,22006078.5800,1936526984.0900,124945452.6100,247385.1400,39,675625030.3060,null,968350391.0100,29001926.3900,null,400345084.2800,481091048.4000,2298264.550,1957091496.3994,642701418.6400,673096008.0900,1392663.0600,390494256.1044,685475891.1224,null,518831512.5300,26709526.7028,400345084.2800,968350391.0100,null,
null,3995194,22029286.8500,null,303710698.2200,666068493.9700,378581842.5700,null,968350391.0100,175464217.4557,17974540.4400,1911684907.6700,134101205.6900,174544.4900,40,655938224.7374,null,941905715.4800,25289039.2500,null,396730927.5000,485279426.5600,2262802.130,1944664083.1744,639511922.5500,666068493.9700,1267532.1700,377044121.9314,675625063.6796,null,504387457.6600,26941351.3596,396730927.5000,941905715.4800,null,
null,4029634,21869354.5100,null,309144075.4400,680287418.3500,381543697.7300,null,941905715.4800,178945454.5822,20381482.5100,1926095482.1400,134916783.2900,161201.3600,41,653228375.6297,null,936663988.3500,28403789.4500,null,402086381.6000,494686989.1800,2249119.190,1955982205.4995,650711152.6600,680287418.3500,1172476.2400,399376532.4923,655938258.0759,null,531761437.7600,28175673.2604,402086381.6000,936663988.3500,null,
null,3977145,20600494.5400,null,296307047.6100,642290226.9500,347846076.2100,null,936663988.3500,177879392.6989,18663121.4000,1898873026.2100,121203917.7300,385337.5800,42,671554292.6346,null,960275751.6500,26370938.8200,null,366894535.1900,477727998.3340,2232727.100,1930464772.4112,614534502.0800,642290226.9500,1384786.0500,385220452.1949,653228896.0500,null,511710216.2200,30746091.4096,366894535.1900,960275751.6500,null,
